horairedebitmax,debithorairemax,gid,nbvoies,Avg car by lane,distancelignearret,identifiantcontroleur,identifiantptm,lat,lon,moyennejoursouvrable,nom,positionnement,typecapteur,typepostemesure
08h00,312,781,1,312,82,2166,1100,45.71251874,4.888160084,3109,1100_Guesde_Pagnol_Platanes,1100_V,Capteur inductif Criter,Boucle inductive TV
08h00,1336,782,2,668,101,2183,1101,45.7162142,4.893740106,15359,1101_De Gaulle_Amadeo_Parc RVI,1101_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1336,783,2,668,101,2183,1101,45.71623417,4.893769005,15359,1101_De Gaulle_Amadeo_Parc RVI,1101_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1636,786,3,545.3333333,86,596,1026,45.7444575,4.858149024,18497,1026_Tchecoslovaques_Berthelot_Veyron,1026_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1636,787,3,545.3333333,86,596,1026,45.74444445,4.858225017,18497,1026_Tchecoslovaques_Berthelot_Veyron,1026_VL,Capteur inductif Criter,Boucle inductive TV
08h00,74,789,1,74,96,451,1046,45.77885514,4.868296969,669,1046_11 Novembre_Boulevard_Condorcet TÃ G,1046_V,Capteur inductif Criter,Boucle inductive TV
08h00,1066,790,2,533,107,547,1082,45.77001503,4.859661027,12141,1082_Rambaud_Vitton_Emeraudes,1082_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1066,791,2,533,107,547,1082,45.77002766,4.859695499,12141,1082_Rambaud_Vitton_Emeraudes,1082_VR,Capteur inductif Criter,Boucle inductive TV
08h00,503,792,1,503,109,337,1083,45.76955978,4.84373651,6683,1083_Foch_Tronchet_Sully,1083_VL,Capteur inductif Criter,Boucle inductive TV
08h00,503,793,1,503,109,337,1083,45.76955916,4.843703368,6683,1083_Foch_Tronchet_Sully,1083_VR,Capteur inductif Criter,Boucle inductive TV
08h00,350,794,1,350,0,417,1003,45.74148573,4.876460119,3254,1003_Jean XXIII_Alouettes_Bullukian,1003_V,Capteur inductif Criter,Boucle inductive TV
08h00,696,797,1,696,118,-1,1007,45.78347961,4.882910522,6598,1007_Einstein_Clement_Bohr,1007_V,Capteur inductif Criter,Boucle inductive TV
08h00,419,802,1,419,220,2056,1012,45.77199613,4.876643412,4675,1012_Pressense_Mauvert_Viret,1012_V,Capteur inductif Criter,Boucle inductive TV
08h00,545,805,1,545,111,2778,1022,45.78297972,4.880517253,5397,1022_Einstein_Bohr_Clement,1022_V,Capteur inductif Criter,Boucle inductive TV
08h00,1399,807,3,466.3333333,88,295,1217,45.74600825,4.847457255,18281,1217_Bloch_Madeleine_Voituret,1217_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1399,808,3,466.3333333,88,295,1217,45.74598715,4.847432725,18281,1217_Bloch_Madeleine_Voituret,1217_VM,Capteur inductif Criter,Boucle inductive TV
08h00,1399,809,3,466.3333333,88,295,1217,45.74596933,4.847399507,18281,1217_Bloch_Madeleine_Voituret,1217_VR,Capteur inductif Criter,Boucle inductive TV
08h00,362,816,1,362,83,124,1220,45.78049476,4.820502708,2997,1220_Lassalle_Sambardier_Henon,1220_V,Capteur inductif Criter,Boucle inductive TV
08h00,338,817,1,338,82,124,1221,45.77865029,4.820499484,2974,1221_Lassalle_Revel_Henon,1221_V,Capteur inductif Criter,Boucle inductive TV
08h00,360,824,1,360,85,-1,1112,45.78816116,4.766165886,3275,1112_Pontet Crases_Rafour_Collongue,1112_V,Capteur inductif Criter,Boucle inductive TV
08h00,351,829,1,351,114,-1,1401,45.80491031,4.838060939,2519,1401_Termier_Faisan_Carrie,1401_V,Capteur inductif Criter,Boucle inductive TV
08h00,713,837,2,356.5,99,276,1023,45.74973799,4.852274902,8740,1023_Guillotiere_Tourville_Garibaldi,1023_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1055,843,2,527.5,99,2769,1039,45.71772276,4.955999556,11356,1039_Grenoble_Progres_Expositions,1039_VR,Capteur inductif Criter,Boucle inductive TV
08h00,416,844,2,208,103,2769,1040,45.71935468,4.954862077,2406,1040_Expositions_Parking_Grenoble,1040_VR,Capteur inductif Criter,Boucle inductive TV
08h00,426,850,1,426,96,2768,1044,45.72370027,4.956728181,2224,1044_Exposition_Bleriot_Parking Eurexpo,1044_V,Capteur inductif Criter,Boucle inductive TV
08h00,713,851,2,356.5,99,276,1023,45.74976331,4.85229521,8740,1023_Guillotiere_Tourville_Garibaldi,1023_VR,Capteur inductif Criter,Boucle inductive TV
08h00,1158,855,2,579,48,398,1030,45.75085904,4.839215484,15153,1030_Universite_Marseille_Pasteur,1030_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1158,856,2,579,48,398,1030,45.75083896,4.839190831,15153,1030_Universite_Marseille_Pasteur,1030_VR,Capteur inductif Criter,Boucle inductive TV
08h00,723,860,1,723,96,361,1036,45.74623439,4.886341984,8645,1036_Lacassagne_Viala_Eugenie,1036_VR,Capteur inductif Criter,Boucle inductive TV
08h00,723,861,1,723,96,361,1036,45.74621299,4.886330682,8645,1036_Lacassagne_Viala_Eugenie,1036_VL,Capteur inductif Criter,Boucle inductive TV
08h00,573,869,1,573,112,2257,1063,45.75682397,4.849714304,6799,1063_Bert_Duguesclin_Philipp,1063_V,Capteur inductif Criter,Boucle inductive TV
08h00,405,872,2,202.5,96,451,1014,45.77889931,4.868304407,4035,1014_11 Novembre_Boulevard_Condorcet,1014_VL,Capteur inductif Criter,Boucle inductive TV
08h00,405,873,2,202.5,96,451,1014,45.77887669,4.868301401,4035,1014_11 Novembre_Boulevard_Condorcet,1014_VR,Capteur inductif Criter,Boucle inductive TV
08h00,538,874,2,269,97,-1,1015,45.77885707,4.871060997,5171,1015_11 Novembre_Bonnet_Fabre,1015_VR,Capteur inductif Criter,Boucle inductive TV
08h00,538,875,2,269,97,-1,1015,45.77883382,4.871070734,5171,1015_11 Novembre_Bonnet_Fabre,1015_VL,Capteur inductif Criter,Boucle inductive TV
08h00,917,879,3,305.6666667,101,2546,1065,45.76251477,4.856016643,11629,1065_Bonnel_Garibaldi_V.Merle,1065_VM,Capteur inductif Criter,Boucle inductive TV
08h00,917,890,3,305.6666667,101,2546,1065,45.762492,4.85602002,11629,1065_Bonnel_Garibaldi_V.Merle,1065_VL,Capteur inductif Criter,Boucle inductive TV
08h00,269,908,1,269,96,2800,1171,45.78321736,4.891415939,2751,1171_Autopont Bonnevay_8 Mai 1945_Rdt Point,1171_V,Capteur inductif Criter,Boucle inductive TV
08h00,174,924,1,174,113,149,1199,45.76736762,4.831456352,1859,1199_Algerie_Robatel_Pecherie,1199_V,Capteur inductif Criter,Boucle inductive TV
08h00,286,930,1,286,140,2503,1210,45.73392079,4.825759622,2986,1210_Bollier_Farge_Leclerc,1210_V,Capteur inductif Criter,Boucle inductive TV
08h00,932,933,1,932,43,2694,1203,45.77444199,4.813129631,8416,1203_Entree tunnel XRousse_Esses TÃ  D,1203_V,Capteur inductif Criter,Boucle inductive TV
08h00,96,935,1,96,97,2503,1211,45.73369613,4.825830455,1059,1211_Farges_Bollier_Varille,1211_V,Capteur inductif Criter,Boucle inductive TV
08h00,1062,939,2,531,83,2633,1103,45.70296666,4.91562961,9999,1103_Lyon_Alouettes_Cite Berliet,1103_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1062,940,2,531,83,2633,1103,45.70294855,4.915609629,9999,1103_Lyon_Alouettes_Cite Berliet,1103_VR,Capteur inductif Criter,Boucle inductive TV
08h00,779,942,2,389.5,0,2468,1105,45.69721137,4.9250491,8134,1105_Briand_Diderot_Jaures,1105_VL,Capteur inductif Criter,Boucle inductive TV
08h00,779,943,2,389.5,0,2468,1105,45.69719244,4.925020248,8134,1105_Briand_Diderot_Jaures,1105_VR,Capteur inductif Criter,Boucle inductive TV
08h00,455,947,1,455,88,979,1132,45.79026105,4.840099587,3499,1132_Monnet_Avenir Croix-Roussien_Pasteur,1132_V,Capteur inductif Criter,Boucle inductive TV
08h00,813,951,2,406.5,112,2370,1186,45.74429583,4.878953356,9251,1186_Florence_Trarieux_Arsonval,1186_VL,Capteur inductif Criter,Boucle inductive TV
08h00,813,952,2,406.5,112,2370,1186,45.74428463,4.878992607,9251,1186_Florence_Trarieux_Arsonval,1186_VR,Capteur inductif Criter,Boucle inductive TV
08h00,598,955,1,598,112,-1,1113,45.75453986,4.780428662,5584,1113_Curie_Etoile_Eisenhower,1113_V,Capteur inductif Criter,Boucle inductive TV
08h00,388,956,1,388,84,-1,1114,45.75327088,4.770472577,2877,1114_Brignais_Curie_de Gaulle,1114_V,Capteur inductif Criter,Boucle inductive TV
08h00,294,957,2,147,110,286,1189,45.73871056,4.866342296,3338,1189_Cazeneuve_Berliet_Berthelot,1189_VR,Capteur inductif Criter,Boucle inductive TV
08h00,430,960,1,430,132,348,1195,45.7544521,4.865694039,5741,1195_Faure_Lacassagne_Kimmerling,1195_V,Capteur inductif Criter,Boucle inductive TV
08h00,370,962,1,370,52,213,1197,45.75710957,4.856341729,4800,1197_Bert_Cuirassiers_Banniere,1197_V,Capteur inductif Criter,Boucle inductive TV
08h00,735,965,1,735,999,-1,958,45.78208228,4.720606326,5161,958_Sain Bel_Terres d'Or_ Lacroix-Laval,958_V_1,Capteur inductif Criter,Boucle inductive TV
08h00,1080,970,1,1080,999,-1,961,45.79738554,4.855387398,11623,961_Soldats_Pasteur_Saint-Clair,961_V_1,Capteur inductif Criter,Boucle inductive TV
08h00,1080,971,1,1080,999,-1,961,45.79738754,4.855436143,11623,961_Soldats_Pasteur_Saint-Clair,961_V_2,Capteur inductif Criter,Boucle inductive TV
08h00,1323,972,3,441,90,2223,999,45.78350496,4.849029749,10106,999_Charles de Gaulle_Interpol_Geoges V,999_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1323,973,3,441,90,2223,999,45.78352613,4.849005659,10106,999_Charles de Gaulle_Interpol_Geoges V,999_VM,Capteur inductif Criter,Boucle inductive TV
08h00,660,981,2,330,98,-1,853,45.72733602,4.964601978,3398,853_Montgolfier_Arsoval_Progres,853_VL,Capteur inductif Criter,Boucle inductive TV
08h00,1048,985,1,1048,999,-1,971,45.81010628,4.778657456,7701,971_RD306_Giratoire_Sans Souci,971_VL_2,Capteur inductif Criter,Boucle inductive TV
08h00,1048,986,1,1048,999,-1,971,45.81011675,4.778697735,7701,971_RD306_Giratoire_Sans Souci,971_VR_2,Capteur inductif Criter,Boucle inductive TV
08h00,1048,987,1,1048,999,-1,971,45.81014185,4.778633968,7701,971_RD306_Giratoire_Sans Souci,971_VL_1,Capteur inductif Criter,Boucle inductive TV
08h00,1048,988,1,1048,999,-1,971,45.81015123,4.778677147,7701,971_RD306_Giratoire_Sans Souci,971_VR_1,Capteur inductif Criter,Boucle inductive TV
08h00,647,989,1,647,999,-1,973,45.79611789,4.741187164,5707,973_RD307_Cros_Bois de la Lune,973_V_2,Capteur inductif Criter,Boucle inductive TV
08h00,1375,999,2,687.5,999,-1,969,45.83921292,4.739323122,12882,969_RD306_Dame_Cite,969_VL_1,Capteur inductif Criter,Boucle inductive TV
08h00,1375,1000,2,687.5,999,-1,969,45.83918928,4.739367334,12882,969_RD306_Dame_Cite,969_VL_2,Capteur inductif Criter,Boucle inductive TV
08h00,647,1001,1,647,999,-1,973,45.79615714,4.741184457,5707,973_RD307_Cros_Bois de la Lune,973_V_1,Capteur inductif Criter,Boucle inductive TV
08h00,410,1032,1,410,105,-1,824,45.76117501,4.809175697,3474,824_Audry_Loyasse_PPietons,824_V,Capteur inductif Criter,Boucle inductive TV
